FID,geom,id,nome,tipo,oferta,inep,endereco,numero,bairro,cod_bairro,CEP,territorio,distrito,sefor,regional,telefone,email,UTM_E,UTM_N,fonte,ano_ref,espg_codif
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_647f,POINT (-38.508826383739915 -3.8550811952624118),1,MÁRIO ALENCAR,EEEP,M,23323434,RUA VERDE 44,97,JANGURUSSU,61,60876-670,32,6,2,SR9,3275-6593,MARIOALENCAR@ESCOLA.CE.GOV.BR,554533.14,9573875.53,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_64bb,POINT (-38.572310754855955 -3.787530840003642),61,MARIA THOMÁSIA,EEMTI,M,23078669,RUA POLÔNIA,369,PARANGABA,105,60710-500,17,4,3,SR4,3101-7753,MTHOMASIA@ESCOLA.CE.GOV.BR,547488.29,9581346.21,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_64bc,POINT (-38.579924925671754 -3.7865967173168125),62,PROFESSOR HERMENEGILDO FIRMEZA,EEFM,F2/M,23071001,RUA GABRIEL FIUZA,360,VILA PERI,108,60730-110,17,4,3,SR4,3101-3073,HERMENEGILDO@ESCOLA.CE.GOV.BR,546642.89,9581449.88,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_64bd,POINT (-38.592639515470424 -3.7892014484850485),63,SÃO FRANCISCO DE ASSIS,EEM,M,23069988,RUA NEREIDE,320,GRANJA PORTUGAL,79,60876-670,39,5,3,SR5,3101-6118,SFASSIS@ESCOLA.CE.GOV.BR,545230.97,9581162.63,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_64be,POINT (-38.60153053706579 -3.786308596198497),64,PROFESSOR JOCIÊ CAMINHA DE MENEZES,EEMTI,M,23068965,RUA ITÚ,120,GRANJA PORTUGAL,79,60876-670,39,5,3,SR5,3101-6116,JOCIEC@ESCOLA.CE.GOV.BR,544243.89,9581482.86,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_64bf,POINT (-38.61883098456309 -3.7832206468732927),65,MARIA ALVES CARIOCA,EEMTI,M,23188154,RUA SARGENTO BARBOSA,851,GRANJA LISBOA,78,60540-498,39,5,3,SR5,3101-6122/3101-6140,CAICMACARIOCA@ESCOLA.CE.GOV.BR,542323.06,9581825.06,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_64c0,POINT (-38.50862153830917 -3.781380895999082),66,MIRIAN PORTO MOTA,EEMTI,F2/M,23069562,LARGO DAS CASTANHOLAS,S/N,JARDIM DAS OLIVEIRAS,62,60820-470,27,2,2,SR6,3101-2185,MPMOTA@ESCOLA.CE.GOV.BR,554560.54,9582022.27,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_64c1,POINT (-38.51239548969503 -3.7793444337190745),67,PROFESSORA MARIA DA CONCEIÇÃO PORFÍRIO TELES,EEFM,F2/M,23073527,RUA MONTE CRISTO,177,AEROLÂNDIA,91,60850-270,26,2,2,SR6,3101-6138,PTELES@ESCOLA.CE.GOV.BR,554141.61,9582247.62,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_64c2,POINT (-38.5730087782198 -3.7784900423035492),68,GENERAL EUDORO CORRÊA,EEMTI,M,23069767,RUA JÚLIO BRAGA,101,PARANGABA,105,60720-640,17,4,1,SR4,3101-6128,EUDOROC@ESCOLA.CE.GOV.BR,547411.27,9582345.60,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_64c3,POINT (-38.59252599290748 -3.773515136979893),69,SÃO JOSÉ DO PICI DAS PEDREIRAS,EEM,M,23227877,RUA MANOEL ANTÔNIO LEITE,250,JOÃO XXIII,46,60545-300,37,3,1,SR11,3101-5687,JPICI@ESCOLA.CE.GOV.BR,545244.39,9582896.55,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_64c4,POINT (-38.601608223477875 -3.773570441117543),70,DOUTOR UBIRAJARA ÍNDIO DO CEARÁ,EEM,M,23078170,RUA 751,S/N,CONJUNTO CEARÁ II,75,60532-020,38,5,3,SR11,3101-5595,UV7UBIRAJARA@ESCOLA.CE.GOV.BR,544235.91,9582890.91,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_64c5,POINT (-38.61788304950137 -3.7744294945678964),71,PROFESSORA MARIA ANTONIETA NUNES,EEMTI,M,23065486,RUA 916,1,CONJUNTO CEARÁ II,75,60532-540,38,5,3,SR11,3101-5960,UV9ANUNES@ESCOLA.CE.GOV.BR,542428.75,9582796.76,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_64c6,POINT (-38.47683523974993 -3.7726627243660635),72,DOM ANTONIO DE ALMEIDA LUSTOSA,EEFM,F2/M,23065273,RUA ADOLFO MOREIRA DE CARVALHO,1,EDSON QUEIROZ,57,60811-740,25,2,2,SR7,3101-2171/3273-9429,AMLUSTOSA@ESCOLA.CE.GOV.BR,558090.63,9582983.91,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_64c7,POINT (-38.51277994285765 -3.7652217600689153),73,ESTADO DO PARÁ,EEMTI,F2/M,23068833,RUA DJALMA PETIT,589,ALTO DA BALANÇA,93,60851-120,26,2,2,SR6,3101-2168,ESTPARA@ESCOLA.CE.GOV.BR,554099.80,9583808.74,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_64c8,POINT (-38.53187978186283 -3.766526296504064),74,PROFESSOR CORONEL JOSÉ AURÉLIO CÂMARA,EEMTI,M,23072199,RUA JORGE ACÚRCIO,655,VILA UNIÃO,109,60356-001,18,4,3,SR4,3101-7807,JACAMARA@ESCOLA.CE.GOV.BR,551978.87,9583665.70,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_64c9,POINT (-38.555437339096606 -3.7667396241404463),75,JOÃO MATTOS,EEM,M,23069260,RUA ALMIRANTE RUBIM,1014,MONTESE,103,60425-482,16,4,3,SR4,3101-2977,JMATOS@ESCOLA.CE.GOV.BR,549363.03,9583643.49,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_64ca,POINT (-38.56397302329729 -3.7729231497443885),76,JOAQUIM MOREIRA DE SOUSA,EEEP,M,23068884,RUA CAIO PRADO,2,PARANGABA,105,60720-040,17,4,3,SR4,3101-2980,JMSOUSA@SEDUC.CE.GOV.BR,548414.89,9582960.46,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_64cb,POINT (-38.57720856650009 -3.7720207621623114),77,HERÁCLITO DE CASTRO E SILVA,EEM,M,23070978,RUA SILVEIRA FILHO,808,JÓQUEI CLUBE,101,60356-001,37,3,1,SR11,3101-5670,CSILVA@ESCOLA.CE.GOV.BR,546945.29,9583060.93,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_64cc,POINT (-38.60096075827263 -3.768804415040227),78,PROFESSOR JOSÉ MARIA CAMPOS DE OLIVEIRA,EEMTI,M,23072431,RUA 820,S/N,CONJUNTO CEARÁ I,42,60532-200,38,5,3,SR11,3101-5965,UV8MCAMPOS@ESCOLA.CE.GOV.BR,544308.04,9583417.70,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_64cd,POINT (-38.60181502736265 -3.772112418236236),79,PROFESSOR PLÁCIDO ADERALDO CASTELO,EEMTI,M,23069082,RUA 719,S/N,CONJUNTO CEARÁ II,75,60530-710,38,5,3,SR11,3101-5683,UV7PLACIDO@ESCOLA.CE.GOV.BR,544213.02,9583052.08,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_64ce,POINT (-38.60292794442223 -3.765019856056712),80,ADELINO ALCÂNTARA FILHO,CEJA,F2/M,23064706,RUA 612,S/N,CONJUNTO CEARÁ I,42,60531-560,38,5,1,SR11,3101-5681,CEJAADELINOA@ESCOLA.CE.GOV.BR,544089.80,9583836.13,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_64cf,POINT (-38.60804547215119 -3.7652106641075327),81,DOUTOR GENTIL BARREIRA,EEM,M,23070552,RUA 202D,S/N,CONJUNTO CEARÁ I,42,60530-300,38,5,3,SR11,3101-5671,UV2GENTILB@ESCOLA.CE.GOV.BR,543521.55,9583815.30,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_64d0,POINT (-38.61508254993298 -3.768508891000379),82,PROFESSOR EDMILSON GUIMARÃES DE ALMEIDA,EEMTI,M,23068183,RUA 1074,S/N,CONJUNTO CEARÁ II,75,60533-120,38,5,3,SR11,3101-5676,UV10EDMILSONG@ESCOLA.CE.GOV.BR,542740.00,9583451.07,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_64d1,POINT (-38.50753367752157 -3.7589424125930875),83,DONA LUÍZA TÁVORA - PIO XII,EEFM,F2/M,23073420,RUA ANA GONCALVES,947,SÃO JOÃO DO TAUAPE,35,60130-490,10,2,2,SR2,3101-2065,LTAVORA@ESCOLA.CE.GOV.BR,554682.74,9584502.53,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_64d2,POINT (-38.51734596467682 -3.7561860615236142),84,NOEL HUGNEN DE OLIVEIRA PAIVA,EEFM,F2/M,23075147,RUA MONSENHOR SALAZAR,279,SÃO JOÃO DO TAUAPE,35,60130-370,10,2,2,SR2,3101-6154,NHUGNEN@ESCOLA.CE.GOV.BR,553593.34,9584807.82,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_64d3,POINT (-38.52111740451781 -3.7606210014854238),85,JENNY GOMES,EEMTI,M,23071591,AVENIDA BORGES DE MELO,210,AEROPORTO,92,60415-510,18,4,3,SR4,3101-2166,JENNYGOMES@ESCOLA.CE.GOV.BR,553174.28,9584317.82,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_64d4,POINT (-38.54313142770153 -3.7574608172567334),86,ESTADO DO PARANÁ,EEM,M,23068841,RUA ALBERTO MAGNO,S/N,BOM FUTURO,8,60425-235,16,4,3,SR4,3101-5074,PARANA@ESCOLA.CE.GOV.BR,550730.01,9584668.45,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_64d5,POINT (-38.549019058910595 -3.764091222918339),87,MARECHAL HUMBERTO DE ALENCAR CASTELO BRANCO,EEM,M,23071095,RUA ÁLVARO FERNANDES,913,MONTESE,103,60420-570,16,4,3,SR4,3101-2982,MCASTELOBRANCO@ESCOLA.CE.GOV.BR,550075.87,9583935.88,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_64d6,POINT (-38.554376028740215 -3.762345609008914),88,PRESIDENTE HUMBERTO DE ALENCAR CASTELO BRANCO,EEMTI,M,23071087,RUA IRMÃ BAZET,210,MONTESE,103,60420-670,16,4,3,SR4,3101-2987,PCASTELOBRANCO@ESCOLA.CE.GOV.BR,549481.13,9584129.14,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_64d7,POINT (-38.55764170349088 -3.756129194178912),89,ESTADO DO AMAZONAS,EEMTI,M,23069511,RUA MONSENHOR FURTADO,2327,BELA VISTA,94,60441-750,36,3,3,SR11,3101-2991,AMAZONAS@ESCOLA.CE.GOV.BR,549118.85,9584816.47,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_64d8,POINT (-38.5677074027421 -3.760842206973081),90,SENADOR FERNANDES TÁVORA,EEMTI,M,23069627,RUA GOIÁS,141,DEMÓCRITO ROCHA,97,60440-085,36,4,3,SR11,3101-2986,FTAVORA@ESCOLA.CE.GOV.BR,548000.89,9584296.07,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_64d9,POINT (-38.57079031886541 -3.759060557457042),91,JOAQUIM ALVES,EEM,M,23072008,RUA ESTADO DO RIO,S/N,DEMÓCRITO ROCHA,97,60440-145,36,4,3,SR11,3101-5672,JOAQUIMALVES@ESCOLA.CE.GOV.BR,547658.66,9584493.17,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_64da,POINT (-38.57739783386037 -3.758068472145378),92,ANTONIETA SIQUEIRA,EEMTI,M,23065494,RUA GUARANI,4,PICI,106,60356-001,36,3,1,SR11,3101-5673,ANTONIETASIQUEIRA@ESCOLA.CE.GOV.BR,546925.02,9584603.19,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_64db,POINT (-38.5856556531231 -3.760664102182751),93,MARIANO MARTINS,EEM,M,23074060,AVENIDA SENADOR FERNANDES TÁVORA,1445,HENRIQUE JORGE,45,60510-290,37,3,1,SR11,3101-5682,MMARTINS@ESCOLA.CE.GOV.BR,546007.93,9584316.72,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_64dc,POINT (-38.58906671011087 -3.7580841201129505),94,PROFESSOR PAULO FREIRE,EEMTI,M,23227818,AV SEM. FERNANDES TÁVORA,1936,DOM LUSTOSA,43,60510-290,37,3,1,SR11,3496-8554,PFREIRE@ESCOLA.CE.GOV.BR,545629.30,9584602.08,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_64dd,POINT (-38.59161244302904 -3.7552777735705423),95,AYRTON SENNA DA SILVA,EEMTI,M,23188774,RUA MANAUS,855,DOM LUSTOSA,43,60356-001,37,3,1,SR11,3101-5674,ASENNA@ESCOLA.CE.GOV.BR,545346.77,9584912.42,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_64de,POINT (-38.59519125116419 -3.7534058706536273),96,RAIMUNDO GOMES DE CARVALHO,CAIC,F2/M,23186224,RUA PROFESSOR EDGARD DE ARRUDA,1683,AUTRAN NUNES,41,60510-350,37,3,1,SR11,3101-5959,ELIENESALESBEDE@HOTMAIL.COM,544949.47,9585119.52,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_64df,POINT (-38.60699193539511 -3.7606599425540765),97,JOSÉ LEOPOLDINO DA SILVA FILHO,EEM,M,23068914,RUA 448E,S/N,CONJUNTO CEARÁ I,42,60531-230,38,5,3,SR11,3101-5680,UV4LEOPOLDINO@ESCOLA.CE.GOV.BR,543638.76,9584318.27,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_64e0,POINT (-38.61015112623824 -3.75833297379075),98,LICEU DO CONJUNTO CEARÁ,EEM,M,23225416,RUA 1139A,10,CONJUNTO CEARÁ I,42,60533-440,38,5,3,SR11,3101-5594,LICEUCC@ESCOLA.CE.GOV.BR,543288.08,9584575.65,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_64e1,POINT (-38.47228875830522 -3.75162771452367),99,ARQUITETO ROGÉRIO FROES,EEFM,F2/M,23077140,AVENIDA DAS GRAVIOLAS,1000,CIDADE 2000,111,60190-600,23,2,2,SR7,3101-7916,ESCOLAROGERIOFROES@YAHOO.COM.BR,558596.88,9585308.81,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_64e2,POINT (-38.51000707057621 -3.7494641922633045),100,JOAQUIM ANTÔNIO ALBANO,EEEP,M,23072024,RUA JÚLIO SIQUEIRA,390,DIONÍSIO TORRES,14,60130-090,10,2,2,SR2,3101-2072,JALBANO@ESCOLA.CE.GOV.BR,554408.67,9585550.40,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_64e3,POINT (-38.531690506269065 -3.752422828175057),101,INSTITUTO DE EDUCAÇÃO DO CEARÁ,INSTITUTO,M,23066717,RUA GRACILIANO RAMOS,52,FÁTIMA,16,60415-050,15,4,3,SR4,3101-2070,IEC@ESCOLA.CE.GOV.BR,552000.72,9585224.67,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_64e4,POINT (-38.531372036740976 -3.7515290625844107),102,JUAREZ TÁVORA,EEEP,M,23072750,RUA JOAQUIM BASTOS,747,FÁTIMA,16,60415-040,15,4,3,SR4,3271-6529,JTAVORA@ESCOLA.CE.GOV.BR,552036.14,9585323.45,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_64e5,POINT (-38.53891007165812 -3.7522372898017085),103,PAULO VI,EEEP,M,23075864,RUA JORGE DUMAR,1841,JARDIM AMÉRICA,19,60356-001,16,4,3,SR4,3101-7823,ESCOLAPAULOVI@BOL.COM.BR,551199.06,9585245.60,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_64e6,POINT (-38.5652916998673 -3.754414034199818),104,ANÍSIO TEIXEIRA,EEFM,F2/M,23065214,RUA RIO GRANDE DO SUL,680,PANAMERICANO,104,60356-001,36,4,3,SR11,3101-2996,ANISIOT@ESCOLA.CE.GOV.BR,548269.49,9585006.49,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_64e7,POINT (-38.58418675937543 -3.7484490984959518),105,JÚLIA GIFFONI,EEEP,M,23072792,RUA CEL. MATOS DOURADO,1349,PICI,106,60510-510,36,3,1,SR11,3101-5078/3235-1190,JGIFFONI@ESCOLA.CE.GOV.BR,546171.68,9585666.86,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_64e8,POINT (-38.593015123138194 -3.7522584867286533),106,JOSÉ WALDEMAR DE ALCÂNTARA E SILVA,EEM,M,23225505,RUA MACEIÓ,627,AUTRAN NUNES,41,60356-001,37,3,1,SR11,3101-5679/3496-6468,WALCANTARA@ESCOLA.CE.GOV.BR,545191.17,9585246.24,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_64e9,POINT (-38.4740478105495 -3.7419062169414),107,MARIA JOSÉ MEDEIROS,EEEP,M,23073683,RUA DES. LAURO NOGUEIRA,S/N,PAPICU,27,60175-055,8,2,2,SR2,3101-3155/3276-5982,MMEDEIROS@ESCOLA.CE.GOV.BR,558402.19,9586383.53,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_64ea,POINT (-38.511117555444315 -3.740237289431488),108,INSTITUTO CEARENSE DE EDUCAÇÃO DE SURDOS,INSTITUTO,F2/M,23071265,AVENIDA RUI BARBOSA,1970,ALDEOTA,2,60115-222,7,2,2,SR2,3101-1391,ISURDOS@ESCOLA.CE.GOV.BR,554285.93,9586570.39,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_64eb,POINT (-38.51123404901698 -3.7406336958243087),109,RENATO BRAGA,EEMTI,M,23069120,AVENIDA RUI BARBOSA,2000,ALDEOTA,2,60115-221,7,2,2,SR2,3101-7920,RBRAGA@ESCOLA.CE.GOV.BR,554272.97,9586526.58,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_64ec,POINT (-38.517492001418695 -3.7453714831280864),110,PADRE ROCHA,EEFM,F2/M,23069570,RUA CORONEL ALVES TEIXEIRA,525,JOAQUIM TÁVORA,22,60130-000,10,2,2,SR2,3101-5075,PROCHA@ESCOLA.CE.GOV.BR,553577.78,9586003.26,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_64ed,POINT (-38.53564957340434 -3.74211689369116),111,FIGUEIREDO CORREIA,EEM,M,23070242,RUA MARECHAL DEODORO,733,BENFICA,7,60020-060,15,4,3,SR4,3101-2387/3281-0825,FIGUEIREDO@ESCOLA.CE.GOV.BR,551561.70,9586364.10,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_64ee,POINT (-38.54845784312712 -3.7457021337865783),112,FÉLIX DE AZEVEDO,EEFM,F2/M,23070161,RUA MONSENHOR FURTADO,757,RODOLFO TEÓFILO,34,60430-355,14,3,1,SR3,3101-2208,FAZEVEDO@ESCOLA.CE.GOV.BR,550139.23,9585968.54,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_64ef,POINT (-38.55224181323719 -3.739406674449896),113,ANTÔNIO SALES,EEM,M,23065389,RUA PROFESSOR ANACLETO,630,AMADEU FURTADO,4,60450-360,14,3,1,SR3,3101-2263,ASALES@ESCOLA.CE.GOV.BR,549719.41,9586664.64,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_64f0,POINT (-38.56144706975014 -3.7411891713574947),114,SANTO AFONSO,EEMTI,M,23069201,RUA GENERAL BERNARDO FIGUEIREDO,S/N,AMADEU FURTADO,4,60431-085,14,3,1,SR3,3101-2260,SAFONSO@ESCOLA.CE.GOV.BR,548697.13,9586468.13,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_64f1,POINT (-38.566322511027074 -3.739217446414283),115,JOAQUIM NOGUEIRA,EEEP,M,23072067,RUA DR. MOREIRA DE SOUSA,327,PARQUELÂNDIA,29,60450-080,14,3,1,SR3,3101-7635/3238-6521,JNOGUEIRA@ESCOLA.CE.GOV.BR,548155.86,9586686.35,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_64f2,POINT (-38.57870553608832 -3.7383924402433824),116,COLÉGIO DA POLÍCIA MILITAR DO CEARÁ GENERAL EDGARD FACÓ,COLÉGIO MILITAR,F1/F2/M,23198710,AVENIDA MISTER HULL,S/N,PADRE ANDRADE,47,60356-001,12,3,1,SR3,3101-4565,PMILITAR@ESCOLA.CE.GOV.BR,546780.85,9586778.21,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_64f3,POINT (-38.58585569968243 -3.744405638778267),117,MÁRIO HUGO CIDRACK DO VALE,EEFM,F2/M,23225327,RUA DOUTOR PERIGUARI,547,ANTÔNIO BEZERRA,40,60360-600,11,3,1,SR3,3101-5068,MCIDRACK@ESCOLA.CE.GOV.BR,545986.57,9586113.90,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_64f4,POINT (-38.58909246929148 -3.7405950538437853),118,PATRONATO SAGRADA FAMÍLIA,EEM,M,23075686,RUA MARTINS NETO,379,ANTÔNIO BEZERRA,40,60360-415,11,3,1,SR3,3101-5087,PATRONATO@ESCOLA.CE.GOV.BR,545627.35,9586535.28,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_64f5,POINT (-38.59446783626097 -3.7440926023246996),119,ANTÔNIO BEZERRA,EEMTI,M,23065249,RUA PE. PERDIGÃO SAMPAIO,780,ANTÔNIO BEZERRA,40,60361-010,11,3,1,SR3,3235-0265,ABEZERRA@ESCOLA.CE.GOV.BR,545030.28,9586148.95,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_64f6,POINT (-38.46218169234081 -3.7312480319795966),120,DEPUTADO MANOEL RODRIGUES,EEFM,F2/M,23073918,RUA OLIVEIRA FILHO,1576,VICENTE PINZÓN,37,60876-670,9,2,2,SR2,3101-7918,MRODRIGUES@ESCOLA.CE.GOV.BR,559720.57,9587560.89,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
